Author,Title,Word-count,File
Augustine,Contra Faustum,148689,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa024.opp-lat1.xml
Augustine,Contra Felicem,16256,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa031a.opp-lat1.xml
Augustine,Contra Fortunatum,7870,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa024b.opp-lat1.xml
Augustine,Contra Gaudentium Donatistarum Episcopum,22430,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa025.opp-lat1.xml
Augustine,Contra Litteras Petiliani,67689,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa027.opp-lat1.xml
Augustine,Contra Mendacium,14231,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa029.opp-lat1.xml
Augustine,Contra Partem Donati Post Gesta,17715,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa029a.opp-lat1.xml
Augustine,Contra Secundinum,12310,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa031.opp-lat1.xml
Augustine,Contra epistulam fundamenti,15596,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa021a.opp-lat1.xml
Augustine,De Baptismo,60808,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa033a.opp-lat1.xml
Augustine,De Beata Vita,9151,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa034.opp-lat1.xml
Augustine,De Bono Viduitatis,9095,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa035a.opp-lat1.xml
Augustine,De Conjugiis Adulterinis,16429,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa036.opp-lat1.xml
Augustine,De Consensu Evangelistarum,92010,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa037.opp-lat1.xml
Augustine,De Continentia,10496,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa037a.opp-lat1.xml
Augustine,De Cura pro Mortuis Gerenda ad Paulinum Episcopum,7947,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa037c.opp-lat1.xml
Augustine,De Fide et Operibus,14706,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa041.opp-lat1.xml
Augustine,De Fide et Symbolo,6914,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa006.opp-lat1.xml
